OBJECTID,Shape,PARKNUMBER
521,"(40.72560723700008, -73.97560273199991)",M270
522,"(40.72533081800009, -73.97517065499994)",M270
523,"(40.711925465000036, -73.97785706899992)",M144
524,"(40.711205575000065, -73.97749284699995)",M144
525,"(40.71088118500006, -73.97797056899992)",M144
526,"(40.711616408000054, -73.9796829579999)",M017
527,"(40.717228402000046, -73.97709671699994)",M165
528,"(40.71734888100008, -73.97671640899995)",M165
529,"(40.719472041000074, -73.97709807299992)",M201
530,"(40.71545907600006, -73.9639399539999)",B124
531,"(40.71668760000006, -73.96669677999995)",B401
532,"(40.85982393900008, -73.93393411999995)",M029
533,"(40.863834274000055, -73.93026411799991)",M029
534,"(40.86320044000007, -73.93304528599992)",M029
535,"(40.78836909000006, -73.98329062999994)",M071
536,"(40.78743258900005, -73.98187979699992)",M071
537,"(40.781097754000086, -73.98594379799994)",M071
538,"(40.781788422000034, -73.98762029799991)",M071
539,"(40.783791756000085, -73.98631529799991)",M071
540,"(40.781808255000044, -73.98763579799993)",M071
541,"(40.79768459200005, -73.97666346299991)",M071
542,"(40.67366990000005, -74.00486629799991)",B126
543,"(40.67392656700008, -74.00572463199995)",B126
544,"(40.672869899000034, -74.0061996309999)",B126
545,"(40.67262490000007, -74.00536129799991)",B126
546,"(40.769579872000065, -73.94928441899992)",M045
547,"(40.76924511900006, -73.9497465629999)",M045
548,"(40.76897477600005, -73.94924934999995)",M045
549,"(40.861869943000045, -73.79359290799994)",X039
